"Price Indices by Country and Month"

"Country","Month","Consumer price index, 2010=100"
"Albania","2000M01",75.3
"Albania","2000M02",74.8
"Albania","2000M03",74.0
"Albania","2000M04",74.5
"Albania","2000M05",75.0
"Albania","2000M06",73.4
"Albania","2000M07",71.4
"Albania","2000M08",71.8
"Albania","2000M09",73.0
"Albania","2000M10",73.9
"Albania","2000M11",74.5
"Albania","2000M12",77.9
"Albania","2001M01",76.9
"Albania","2001M02",75.9
"Albania","2001M03",76.1
"Albania","2001M04",76.8
"Albania","2001M05",76.9
"Albania","2001M06",76.4
"Albania","2001M07",75.5
"Albania","2001M08",74.7
"Albania","2001M09",75.5
"Albania","2001M10",75.2
"Albania","2001M11",76.6
"Albania","2001M12",80.7
"Albania","2002M01",81.9
"Albania","2002M02",81.7
"Albania","2002M03",81.8
"Albania","2002M04",81.7
"Albania","2002M05",80.4
"Albania","2002M06",79.2
"Albania","2002M07",78.7
"Albania","2002M08",78.8
"Albania","2002M09",79.5
"Albania","2002M10",79.6
"Albania","2002M11",79.5
"Albania","2002M12",82.0
"Albania","2003M01",81.8
"Albania","2003M02",82.6
"Albania","2003M03",82.9
"Albania","2003M04",83.6
"Albania","2003M05",82.7
"Albania","2003M06",81.3
"Albania","2003M07",81.0
"Albania","2003M08",81.1
"Albania","2003M09",81.7
"Albania","2003M10",81.9
"Albania","2003M11",82.2
"Albania","2003M12",84.7
"Albania","2004M01",84.5
"Albania","2004M02",86.2
"Albania","2004M03",86.2
"Albania","2004M04",86.3
"Albania","2004M05",84.8
"Albania","2004M06",83.6
"Albania","2004M07",83.5
"Albania","2004M08",83.3
"Albania","2004M09",83.3
"Albania","2004M10",83.5
"Albania","2004M11",84.0
"Albania","2004M12",86.6
"Albania","2005M01",87.3
"Albania","2005M02",87.7
"Albania","2005M03",87.7
"Albania","2005M04",87.4
"Albania","2005M05",86.5
"Albania","2005M06",86.0
"Albania","2005M07",85.0
"Albania","2005M08",85.2
"Albania","2005M09",86.0
"Albania","2005M10",86.3
"Albania","2005M11",86.5
"Albania","2005M12",88.4
"Albania","2006M01",88.5
"Albania","2006M02",88.9
"Albania","2006M03",89.0
"Albania","2006M04",89.5
"Albania","2006M05",89.2
"Albania","2006M06",88.1
"Albania","2006M07",87.8
"Albania","2006M08",87.6
"Albania","2006M09",88.2
"Albania","2006M10",88.2
"Albania","2006M11",89.0
"Albania","2006M12",90.6
"Albania","2007M01",91.0
"Albania","2007M02",91.5
"Albania","2007M03",91.4
"Albania","2007M04",91.2
"Albania","2007M05",90.5
"Albania","2007M06",89.9
"Albania","2007M07",89.6
"Albania","2007M08",91.3
"Albania","2007M09",92.1
"Albania","2007M10",92.0
"Albania","2007M11",92.2
"Albania","2007M12",93.4
"Albania","2008M01",93.8
"Albania","2008M02",94.7
"Albania","2008M03",95.6
"Albania","2008M04",95.2
"Albania","2008M05",94.3
"Albania","2008M06",93.5
"Albania","2008M07",92.9
"Albania","2008M08",93.6
"Albania","2008M09",94.5
"Albania","2008M10",94.6
"Albania","2008M11",94.5
"Albania","2008M12",95.4
"Albania","2009M01",95.8
"Albania","2009M02",96.5
"Albania","2009M03",97.1
"Albania","2009M04",97.0
"Albania","2009M05",96.3
"Albania","2009M06",95.7
"Albania","2009M07",95.0
"Albania","2009M08",95.6
"Albania","2009M09",96.4
"Albania","2009M10",97.0
"Albania","2009M11",97.4
"Albania","2009M12",99.0
"Albania","2010M01",99.3
"Albania","2010M02",100.8
"Albania","2010M03",100.8
"Albania","2010M04",100.4
"Albania","2010M05",100.8
"Albania","2010M06",98.7
"Albania","2010M07",98.2
"Albania","2010M08",99.0
"Albania","2010M09",99.7
"Albania","2010M10",99.9
"Albania","2010M11",100.1
"Albania","2010M12",102.3
"Albania","2011M01",103.1
"Albania","2011M02",105.5
"Albania","2011M03",105.4
"Albania","2011M04",104.8
"Albania","2011M05",103.6
"Albania","2011M06",102.5
"Albania","2011M07",101.8
"Albania","2011M08",102.0
"Albania","2011M09",102.5
"Albania","2011M10",102.9
"Albania","2011M11",103.0
"Albania","2011M12",104.0
"Albania","2012M01",104.7
"Albania","2012M02",106.1
"Albania","2012M03",106.5
"Albania","2012M04",106.4
"Albania","2012M05",105.6
"Albania","2012M06",104.8
"Albania","2012M07",104.6
"Albania","2012M08",105.0
"Albania","2012M09",105.2
"Albania","2012M10",105.4
"Albania","2012M11",105.6
"Albania","2012M12",106.5
"Albania","2013M01",107.6
"Albania","2013M02",108.7
"Albania","2013M03",109.0
"Albania","2013M04",108.9
"Albania","2013M05",107.8
"Albania","2013M06",107.2
"Albania","2013M07",106.3
"Albania","2013M08",106.2
"Albania","2013M09",107.0
"Albania","2013M10",107.2
"Albania","2013M11",106.6
"Albania","2013M12",108.5
"Albania","2014M01",109.3
"Albania","2014M02",110.8
"Albania","2014M03",111.4
"Albania","2014M04",110.7
"Albania","2014M05",109.5
"Albania","2014M06",108.8
"Albania","2014M07",108.2
"Albania","2014M08",108.2
"Albania","2014M09",108.6
"Albania","2014M10",108.7
"Albania","2014M11",108.4
"Albania","2014M12",109.2
"Albania","2015M01",110.7
"Albania","2015M02",113.3
"Albania","2015M03",113.8
"Albania","2015M04",113.2
"Albania","2015M05",111.4
"Albania","2015M06",110.2
"Albania","2015M07",109.5
"Albania","2015M08",110.4
"Albania","2015M09",111.0
"Albania","2015M10",111.0
"Albania","2015M11",110.7
"Albania","2015M12",111.3
"Albania","2016M01",112.3
"Albania","2016M02",113.6
"Albania","2016M03",114.1
"Albania","2016M04",113.6
"Albania","2016M05",112.2
"Albania","2016M06",111.5
"Albania","2016M07",111.6
"Albania","2016M08",112.6
"Albania","2016M09",113.0
"Albania","2016M10",112.7
"Albania","2016M11",112.7
"Albania","2016M12",113.8
"Albania","2017M01",115.5
"Albania","2017M02",116.1
"Albania","2017M03",116.5
"Albania","2017M04",115.8
"Albania","2017M05",114.4
"Albania","2017M06",114.0
"Albania","2017M07",113.9
"Albania","2017M08",114.3
"Albania","2017M09",114.8
"Albania","2017M10",114.8
"Albania","2017M11",114.6
"Albania","2017M12",115.8
"Albania","2018M01",117.5
"Albania","2018M02",118.5
"Albania","2018M03",118.8
"Albania","2018M04",118.2
"Albania","2018M05",116.8
"Albania","2018M06",116.8
"Albania","2018M07",116.5
"Albania","2018M08",116.9
"Albania","2018M09",117.2
"Albania","2018M10",116.9
"Albania","2018M11",116.7
"Albania","2018M12",117.9
"Albania","2019M01",119.8
"Albania","2019M02",120.5
"Albania","2019M03",120.1
"Albania","2019M04",119.8
"Albania","2019M05",118.6
"Albania","2019M06",118.3
"Albania","2019M07",118.2
"Albania","2019M08",118.6
"Albania","2019M09",118.7
"Albania","2019M10",118.4
"Albania","2019M11",118.3
"Albania","2019M12",119.2
"Albania","2020M01",121.5
"Albania","2020M02",122.0
"Albania","2020M03",122.6
"Albania","2020M04",122.1
"Albania","2020M05",121.1
"Albania","2020M06",120.4
"Albania","2020M07",119.8
"Albania","2020M08",120.1
"Albania","2020M09",120.5
"Albania","2020M10",120.8
"Albania","2020M11",120.2
"Albania","2020M12",120.5
"Albania","2021M01",122.0
"Albania","2021M02",123.4
"Albania","2021M03",124.2
"Albania","2021M04",124.5
"Albania","2021M05",123.4
"Albania","2021M06",122.3
"Albania","2021M07",122.5
