"Exchange Rate (XR) by Country, Indicator and Month"

"Country","Month","Exchange Rate, NCU per Euro"
"Albania","2000M01",138.4937
"Albania","2000M02",137.2013
"Albania","2000M03",135.7859
"Albania","2000M04",134.8854
"Albania","2000M05",133.5115
"Albania","2000M06",133.6023
"Albania","2000M07",132.1180
"Albania","2000M08",129.8074
"Albania","2000M09",129.4087
"Albania","2000M10",127.4243
"Albania","2000M11",127.9010
"Albania","2000M12",131.0840
"Albania","2001M01",132.9893
"Albania","2001M02",131.6619
"Albania","2001M03",131.2688
"Albania","2001M04",129.7654
"Albania","2001M05",128.0857
"Albania","2001M06",126.7469
"Albania","2001M07",127.2226
"Albania","2001M08",128.9960
"Albania","2001M09",129.9845
"Albania","2001M10",128.0850
"Albania","2001M11",124.5128
"Albania","2001M12",122.2916
"Albania","2002M01",123.8203
"Albania","2002M02",123.1686
"Albania","2002M03",124.3388
"Albania","2002M04",127.6110
"Albania","2002M05",132.8840
"Albania","2002M06",136.5660
"Albania","2002M07",137.1962
"Albania","2002M08",134.9976
"Albania","2002M09",136.6026
"Albania","2002M10",136.0277
"Albania","2002M11",137.1881
"Albania","2002M12",137.4261
"Albania","2003M01",139.8407
"Albania","2003M02",140.2348
"Albania","2003M03",140.0908
"Albania","2003M04",140.1085
"Albania","2003M05",140.5096
"Albania","2003M06",138.7917
"Albania","2003M07",136.8092
"Albania","2003M08",133.5765
"Albania","2003M09",135.3586
"Albania","2003M10",136.0189
"Albania","2003M11",135.1708
"Albania","2003M12",133.5258
"Albania","2004M01",133.9796
"Albania","2004M02",132.9581
"Albania","2004M03",130.4054
"Albania","2004M04",128.0594
"Albania","2004M05",127.5216
"Albania","2004M06",124.9090
"Albania","2004M07",124.2415
"Albania","2004M08",124.8996
"Albania","2004M09",125.1313
"Albania","2004M10",125.6401
"Albania","2004M11",127.6369
"Albania","2004M12",126.8126
"Albania","2005M01",127.0008
"Albania","2005M02",126.6652
"Albania","2005M03",126.6139
"Albania","2005M04",125.9374
"Albania","2005M05",124.7742
"Albania","2005M06",123.6618
"Albania","2005M07",121.9037
"Albania","2005M08",121.9054
"Albania","2005M09",123.8287
"Albania","2005M10",122.8529
"Albania","2005M11",122.6394
"Albania","2005M12",122.5160
"Albania","2006M01",123.5230
"Albania","2006M02",122.4451
"Albania","2006M03",122.6882
"Albania","2006M04",123.0301
"Albania","2006M05",122.9897
"Albania","2006M06",122.9348
"Albania","2006M07",122.6390
"Albania","2006M08",122.3902
"Albania","2006M09",123.1452
"Albania","2006M10",123.1475
"Albania","2006M11",124.3096
"Albania","2006M12",123.7738
"Albania","2007M01",124.8434
"Albania","2007M02",125.2459
"Albania","2007M03",126.2156
"Albania","2007M04",126.1725
"Albania","2007M05",125.2632
"Albania","2007M06",123.1398
"Albania","2007M07",122.3171
"Albania","2007M08",122.1673
"Albania","2007M09",123.9473
"Albania","2007M10",122.4173
"Albania","2007M11",121.9009
"Albania","2007M12",120.9814
"Albania","2008M01",122.7392
"Albania","2008M02",123.7344
"Albania","2008M03",124.7002
"Albania","2008M04",122.5278
"Albania","2008M05",122.0412
"Albania","2008M06",122.0166
"Albania","2008M07",121.8104
"Albania","2008M08",121.4799
"Albania","2008M09",123.0835
"Albania","2008M10",123.3946
"Albania","2008M11",123.3029
"Albania","2008M12",122.3362
"Albania","2009M01",125.2542
"Albania","2009M02",128.6749
"Albania","2009M03",131.1432
"Albania","2009M04",130.3594
"Albania","2009M05",132.1287
"Albania","2009M06",131.1927
"Albania","2009M07",129.7303
"Albania","2009M08",131.0960
"Albania","2009M09",134.0399
"Albania","2009M10",136.9444
"Albania","2009M11",137.7165
"Albania","2009M12",137.3437
"Albania","2010M01",138.2046
"Albania","2010M02",138.6889
"Albania","2010M03",139.0909
"Albania","2010M04",138.0965
"Albania","2010M05",136.6298
"Albania","2010M06",136.6012
"Albania","2010M07",136.1640
"Albania","2010M08",136.1573
"Albania","2010M09",136.9528
"Albania","2010M10",138.4295
"Albania","2010M11",138.4290
"Albania","2010M12",138.7493
"Albania","2011M01",138.7308
"Albania","2011M02",139.5796
"Albania","2011M03",140.2352
"Albania","2011M04",141.3778
"Albania","2011M05",141.7564
"Albania","2011M06",141.9424
"Albania","2011M07",139.7518
"Albania","2011M08",139.8164
"Albania","2011M09",140.4847
"Albania","2011M10",140.8443
"Albania","2011M11",140.7347
"Albania","2011M12",138.4818
"Albania","2012M01",138.2114
"Albania","2012M02",139.2753
"Albania","2012M03",139.8944
"Albania","2012M04",139.9710
"Albania","2012M05",139.3529
"Albania","2012M06",138.3941
"Albania","2012M07",137.5194
"Albania","2012M08",137.3714
"Albania","2012M09",138.9639
"Albania","2012M10",139.8417
"Albania","2012M11",139.8281
"Albania","2012M12",139.8190
"Albania","2013M01",139.4632
"Albania","2013M02",139.7408
"Albania","2013M03",139.7589
"Albania","2013M04",140.4976
"Albania","2013M05",140.9321
"Albania","2013M06",140.9786
"Albania","2013M07",140.3139
"Albania","2013M08",140.0240
"Albania","2013M09",140.5633
"Albania","2013M10",140.8099
"Albania","2013M11",140.2105
"Albania","2013M12",140.3042
"Albania","2014M01",140.5199
"Albania","2014M02",140.3497
"Albania","2014M03",140.3594
"Albania","2014M04",139.9862
"Albania","2014M05",139.9204
"Albania","2014M06",140.1250
"Albania","2014M07",139.8050
"Albania","2014M08",139.2543
"Albania","2014M09",139.8658
"Albania","2014M10",139.4120
"Albania","2014M11",139.6732
"Albania","2014M12",140.1406
"Albania","2015M01",140.3022
"Albania","2015M02",140.1203
"Albania","2015M03",140.5224
"Albania","2015M04",140.0992
"Albania","2015M05",140.6957
"Albania","2015M06",140.8500
"Albania","2015M07",139.6415
"Albania","2015M08",139.6792
"Albania","2015M09",139.3514
"Albania","2015M10",139.5461
"Albania","2015M11",137.9644
"Albania","2015M12",137.7420
"Albania","2016M01",138.3254
"Albania","2016M02",138.3250
"Albania","2016M03",138.2617
"Albania","2016M04",138.5758
"Albania","2016M05",138.3893
"Albania","2016M06",137.8397
"Albania","2016M07",136.5468
"Albania","2016M08",136.5512
"Albania","2016M09",137.3472
"Albania","2016M10",136.7736
"Albania","2016M11",135.8207
"Albania","2016M12",135.2557
