"Industrial Production, Original and Seasonally Adjusted by Country and Month"

"Country","Month","Industrial Production index, original, 2010=100"
"Albania","2000M01",..
"Albania","2000M02",..
"Albania","2000M03",..
"Albania","2000M04",..
"Albania","2000M05",..
"Albania","2000M06",..
"Albania","2000M07",..
"Albania","2000M08",..
"Albania","2000M09",..
"Albania","2000M10",..
"Albania","2000M11",..
"Albania","2000M12",..
"Albania","2001M01",..
"Albania","2001M02",..
"Albania","2001M03",..
"Albania","2001M04",..
"Albania","2001M05",..
"Albania","2001M06",..
"Albania","2001M07",..
"Albania","2001M08",..
"Albania","2001M09",..
"Albania","2001M10",..
"Albania","2001M11",..
"Albania","2001M12",..
"Albania","2002M01",..
"Albania","2002M02",..
"Albania","2002M03",..
"Albania","2002M04",..
"Albania","2002M05",..
"Albania","2002M06",..
"Albania","2002M07",..
"Albania","2002M08",..
"Albania","2002M09",..
"Albania","2002M10",..
"Albania","2002M11",..
"Albania","2002M12",..
"Albania","2003M01",..
"Albania","2003M02",..
"Albania","2003M03",..
"Albania","2003M04",..
"Albania","2003M05",..
"Albania","2003M06",..
"Albania","2003M07",..
"Albania","2003M08",..
"Albania","2003M09",..
"Albania","2003M10",..
"Albania","2003M11",..
"Albania","2003M12",..
"Albania","2004M01",..
"Albania","2004M02",..
"Albania","2004M03",..
"Albania","2004M04",..
"Albania","2004M05",..
"Albania","2004M06",..
"Albania","2004M07",..
"Albania","2004M08",..
"Albania","2004M09",..
"Albania","2004M10",..
"Albania","2004M11",..
"Albania","2004M12",..
"Albania","2005M01",..
"Albania","2005M02",..
"Albania","2005M03",..
"Albania","2005M04",..
"Albania","2005M05",..
"Albania","2005M06",..
"Albania","2005M07",..
"Albania","2005M08",..
"Albania","2005M09",..
"Albania","2005M10",..
"Albania","2005M11",..
"Albania","2005M12",..
"Albania","2006M01",..
"Albania","2006M02",..
"Albania","2006M03",..
"Albania","2006M04",..
"Albania","2006M05",..
"Albania","2006M06",..
"Albania","2006M07",..
"Albania","2006M08",..
"Albania","2006M09",..
"Albania","2006M10",..
"Albania","2006M11",..
"Albania","2006M12",..
"Albania","2007M01",..
"Albania","2007M02",..
"Albania","2007M03",..
"Albania","2007M04",..
"Albania","2007M05",..
"Albania","2007M06",..
"Albania","2007M07",..
"Albania","2007M08",..
"Albania","2007M09",..
"Albania","2007M10",..
"Albania","2007M11",..
"Albania","2007M12",..
"Albania","2008M01",..
"Albania","2008M02",..
"Albania","2008M03",..
"Albania","2008M04",..
"Albania","2008M05",..
"Albania","2008M06",..
"Albania","2008M07",..
"Albania","2008M08",..
"Albania","2008M09",..
"Albania","2008M10",..
"Albania","2008M11",..
"Albania","2008M12",..
"Albania","2009M01",..
"Albania","2009M02",..
"Albania","2009M03",..
"Albania","2009M04",..
"Albania","2009M05",..
"Albania","2009M06",..
"Albania","2009M07",..
"Albania","2009M08",..
"Albania","2009M09",..
"Albania","2009M10",..
"Albania","2009M11",..
"Albania","2009M12",..
"Albania","2010M01",..
"Albania","2010M02",..
"Albania","2010M03",..
"Albania","2010M04",..
"Albania","2010M05",..
"Albania","2010M06",..
"Albania","2010M07",..
"Albania","2010M08",..
"Albania","2010M09",..
"Albania","2010M10",..
"Albania","2010M11",..
"Albania","2010M12",..
"Albania","2011M01",..
"Albania","2011M02",..
"Albania","2011M03",..
"Albania","2011M04",..
"Albania","2011M05",..
"Albania","2011M06",..
"Albania","2011M07",..
"Albania","2011M08",..
"Albania","2011M09",..
"Albania","2011M10",..
"Albania","2011M11",..
"Albania","2011M12",..
"Albania","2012M01",..
"Albania","2012M02",..
"Albania","2012M03",..
"Albania","2012M04",..
"Albania","2012M05",..
"Albania","2012M06",..
"Albania","2012M07",..
"Albania","2012M08",..
"Albania","2012M09",..
"Albania","2012M10",..
"Albania","2012M11",..
"Albania","2012M12",..
"Albania","2013M01",..
"Albania","2013M02",..
"Albania","2013M03",..
"Albania","2013M04",..
"Albania","2013M05",..
"Albania","2013M06",..
"Albania","2013M07",..
"Albania","2013M08",..
"Albania","2013M09",..
"Albania","2013M10",..
"Albania","2013M11",..
"Albania","2013M12",..
"Albania","2014M01",..
"Albania","2014M02",..
"Albania","2014M03",..
"Albania","2014M04",..
"Albania","2014M05",..
"Albania","2014M06",..
"Albania","2014M07",..
"Albania","2014M08",..
"Albania","2014M09",..
"Albania","2014M10",..
"Albania","2014M11",..
"Albania","2014M12",..
"Albania","2015M01",..
"Albania","2015M02",..
"Albania","2015M03",..
"Albania","2015M04",..
"Albania","2015M05",..
"Albania","2015M06",..
"Albania","2015M07",..
"Albania","2015M08",..
"Albania","2015M09",..
"Albania","2015M10",..
"Albania","2015M11",..
"Albania","2015M12",..
"Albania","2016M01",..
"Albania","2016M02",..
"Albania","2016M03",..
"Albania","2016M04",..
"Albania","2016M05",..
"Albania","2016M06",..
"Albania","2016M07",..
"Albania","2016M08",..
"Albania","2016M09",..
"Albania","2016M10",..
"Albania","2016M11",..
"Albania","2016M12",..
"Albania","2017M01",..
"Albania","2017M02",..
"Albania","2017M03",..
"Albania","2017M04",..
"Albania","2017M05",..
"Albania","2017M06",..
"Albania","2017M07",..
"Albania","2017M08",..
"Albania","2017M09",..
"Albania","2017M10",..
"Albania","2017M11",..
"Albania","2017M12",..
"Albania","2018M01",..
"Albania","2018M02",..
"Albania","2018M03",..
"Albania","2018M04",..
"Albania","2018M05",..
"Albania","2018M06",..
"Albania","2018M07",..
"Albania","2018M08",..
"Albania","2018M09",..
"Albania","2018M10",..
"Albania","2018M11",..
"Albania","2018M12",..
"Albania","2019M01",..
"Albania","2019M02",..
"Albania","2019M03",..
"Albania","2019M04",..
"Albania","2019M05",..
"Albania","2019M06",..
"Albania","2019M07",..
"Albania","2019M08",..
"Albania","2019M09",..
"Albania","2019M10",..
"Albania","2019M11",..
"Albania","2019M12",..
"Albania","2020M01",..
"Albania","2020M02",..
"Albania","2020M03",..
"Albania","2020M04",..
"Albania","2020M05",..
"Albania","2020M06",..
"Albania","2020M07",..
"Albania","2020M08",..
"Albania","2020M09",..
"Albania","2020M10",..
"Albania","2020M11",..
"Albania","2020M12",..
"Albania","2021M01",..
"Albania","2021M02",..
"Albania","2021M03",..
"Albania","2021M04",..
"Albania","2021M05",..
"Albania","2021M06",..
"Albania","2021M07",..
