date,Czech Republic,Austria,Canada,Belgium,Denmark,Finland,France,Germany,Hungary,Ireland,Italy,Netherlands,Norway,Poland,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,USA,United Kingdom,Bosnia and Herzegovina
2004-01,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,29,42,0
2004-02,29,0,0,0,0,0,0,33,0,42,0,0,0,0,0,0,0,0,0,0,36,53,0
2004-03,34,0,0,0,0,0,0,46,0,54,38,0,0,0,0,0,0,0,0,0,31,49,0
2004-04,32,0,0,0,0,0,56,65,0,39,37,56,0,0,0,0,0,0,0,0,46,69,0
2004-05,51,0,40,75,0,0,84,70,0,47,43,0,0,0,0,0,0,52,0,68,43,74,0
2004-06,81,74,44,0,0,0,57,91,0,76,52,71,0,71,74,0,73,90,0,61,44,85,0
2004-07,100,95,0,0,0,0,89,100,100,100,100,100,0,100,80,0,100,100,0,67,42,100,0
2004-08,68,100,36,0,0,0,88,75,68,58,84,56,0,0,53,0,0,62,0,38,36,74,0
2004-09,30,0,0,0,0,0,0,49,0,0,28,0,0,0,60,0,0,0,0,38,22,37,0
2004-10,22,0,29,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,40,17,21,0
2004-11,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,20,22,100
2004-12,0,0,19,0,0,0,0,42,0,0,20,0,0,0,0,0,41,0,0,0,20,18,0
2005-01,24,0,16,0,0,0,51,44,0,33,0,32,0,0,0,0,45,0,0,0,31,54,0
2005-02,29,0,29,0,0,0,42,53,0,32,18,32,0,0,0,0,0,0,0,0,33,48,0
2005-03,16,53,33,0,0,0,44,57,25,50,19,46,0,0,33,0,31,39,0,0,35,51,0
2005-04,43,0,38,84,0,0,63,56,27,50,36,0,0,0,0,0,38,40,0,0,33,59,0
2005-05,35,60,28,60,0,0,41,67,23,67,47,33,0,40,50,0,33,44,100,62,38,77,0
2005-06,84,70,27,74,0,0,50,63,56,69,62,54,0,56,67,0,70,72,100,71,48,80,71
2005-07,70,73,29,0,0,0,100,93,64,67,78,88,0,58,82,100,70,73,0,100,42,76,0
2005-08,70,80,22,49,0,0,74,78,42,60,83,55,0,44,28,79,53,68,90,29,34,62,76
2005-09,26,0,15,48,0,0,0,43,0,23,19,26,0,0,0,0,50,0,0,31,25,31,0
2005-10,17,0,17,48,0,0,0,31,0,0,25,0,0,0,0,0,0,0,0,0,20,18,0
2005-11,11,0,0,0,0,0,0,28,0,0,19,28,0,0,0,0,0,0,0,0,22,15,0
2005-12,18,0,17,0,0,0,0,29,0,0,12,0,0,0,0,0,0,0,0,0,18,14,0
2006-01,18,37,25,0,0,0,22,32,0,24,19,20,0,0,13,0,0,0,0,0,32,43,0
2006-02,17,0,19,0,60,0,34,35,0,20,10,49,0,19,0,0,0,0,0,0,38,39,0
2006-03,20,0,35,37,0,0,36,39,11,31,14,25,0,22,18,0,27,0,56,24,40,42,39
2006-04,19,45,39,40,0,0,48,46,0,41,22,31,83,29,39,0,27,42,59,32,42,55,0
2006-05,36,57,36,32,52,0,40,75,17,44,40,49,67,30,75,0,35,32,0,42,48,56,40
2006-06,51,49,32,32,64,0,58,73,28,28,55,48,0,50,79,0,46,37,48,34,48,61,43
2006-07,56,62,29,57,0,82,76,86,33,57,72,51,100,38,82,38,35,39,55,56,43,71,49
2006-08,58,0,31,33,0,0,48,45,32,33,62,35,0,39,57,0,40,26,52,22,36,52,37
2006-09,21,35,22,0,0,0,15,31,0,14,11,18,0,0,0,0,0,0,0,28,23,29,0
2006-10,11,0,16,0,0,0,20,35,0,12,15,27,0,0,11,0,0,0,0,16,23,18,0
2006-11,8,0,14,0,0,0,13,26,0,7,8,23,0,0,11,0,14,15,0,0,20,12,0
2006-12,6,0,14,0,47,47,27,29,0,10,10,29,0,0,13,0,0,0,0,0,20,13,32
2007-01,13,32,36,24,39,0,19,30,0,22,12,33,0,14,11,0,17,15,38,18,28,34,25
2007-02,12,0,35,0,0,0,33,39,8,15,13,24,0,16,12,0,18,18,0,21,34,30,0
2007-03,16,41,35,31,0,0,39,44,9,28,21,38,0,12,20,0,18,18,0,39,31,34,19
2007-04,19,39,39,37,0,0,38,46,17,29,31,29,62,15,36,19,32,24,0,34,43,41,0
2007-05,27,57,34,53,37,36,43,51,14,30,30,41,51,25,58,17,26,31,57,36,44,44,18
2007-06,42,63,40,38,0,0,45,54,21,34,45,45,64,23,81,44,34,31,31,36,43,51,42
2007-07,46,73,38,32,61,0,61,69,26,48,59,53,76,38,86,35,41,49,65,63,43,63,45
2007-08,34,49,33,33,0,48,53,50,21,23,50,30,0,22,45,32,32,39,54,32,35,44,23
2007-09,22,28,26,36,0,0,19,38,11,14,12,46,0,0,11,0,23,18,22,23,30,27,17
2007-10,9,35,21,27,0,32,18,25,5,6,10,17,0,0,9,0,9,10,0,17,22,15,13
2007-11,13,0,12,22,0,0,19,25,0,5,8,14,0,0,9,0,8,14,0,20,18,11,20
2007-12,7,0,16,18,0,0,14,24,0,8,5,17,0,10,7,0,17,0,0,15,19,13,16
2008-01,13,36,28,44,32,0,23,28,0,19,10,42,42,10,23,13,17,12,28,16,31,36,15
2008-02,14,21,34,36,34,35,29,35,7,13,12,29,0,14,23,19,13,24,29,23,30,29,12
2008-03,14,30,38,42,55,0,30,40,6,17,14,28,29,17,30,0,18,15,36,26,31,36,0
2008-04,16,50,33,32,30,0,36,40,9,21,20,34,26,12,44,0,21,22,31,24,33,43,15
2008-05,22,47,40,35,41,0,39,43,10,29,24,54,29,11,63,17,18,25,42,33,37,44,22
2008-06,38,59,41,59,57,64,35,52,17,36,41,36,32,25,99,21,34,32,66,37,35,50,18
2008-07,35,66,40,49,57,55,49,52,19,31,38,58,46,27,100,36,33,30,53,54,30,50,25
2008-08,27,56,29,30,0,0,36,38,14,20,33,39,39,24,54,35,22,16,37,29,26,32,0
2008-09,16,30,16,24,0,0,21,33,7,11,11,26,0,13,18,0,13,12,21,20,21,22,18
2008-10,9,19,17,0,0,0,13,27,5,5,7,11,0,0,7,0,0,0,0,11,14,12,15
2008-11,7,28,16,0,0,0,10,17,0,0,4,13,0,8,8,0,7,0,0,0,14,9,12
2008-12,5,25,12,22,24,0,13,15,5,0,8,16,0,9,7,0,8,0,0,16,13,10,13
2009-01,10,15,20,21,55,30,15,26,4,9,7,30,41,16,25,11,9,16,39,23,20,31,14
