country,month,unemployment_rate
Bosnia and Herzegovina,2000M01,25.17
Bosnia and Herzegovina,2000M02,25.17
Bosnia and Herzegovina,2000M03,25.17
Bosnia and Herzegovina,2000M04,25.17
Bosnia and Herzegovina,2000M05,25.17
Bosnia and Herzegovina,2000M06,25.18
Bosnia and Herzegovina,2000M07,25.18
Bosnia and Herzegovina,2000M08,25.19
Bosnia and Herzegovina,2000M09,25.19
Bosnia and Herzegovina,2000M10,25.19
Bosnia and Herzegovina,2000M11,25.19
Bosnia and Herzegovina,2000M12,25.19
Bosnia and Herzegovina,2001M01,26.29
Bosnia and Herzegovina,2001M02,26.29
Bosnia and Herzegovina,2001M03,26.29
Bosnia and Herzegovina,2001M04,26.3
Bosnia and Herzegovina,2001M05,26.28
Bosnia and Herzegovina,2001M06,26.27
Bosnia and Herzegovina,2001M07,26.28
Bosnia and Herzegovina,2001M08,26.29
Bosnia and Herzegovina,2001M09,26.29
Bosnia and Herzegovina,2001M10,26.29
Bosnia and Herzegovina,2001M11,26.29
Bosnia and Herzegovina,2001M12,26.29
Bosnia and Herzegovina,2002M01,27.31
Bosnia and Herzegovina,2002M02,27.31
Bosnia and Herzegovina,2002M03,27.31
Bosnia and Herzegovina,2002M04,27.31
Bosnia and Herzegovina,2002M05,27.32
Bosnia and Herzegovina,2002M06,27.32
Bosnia and Herzegovina,2002M07,27.33
Bosnia and Herzegovina,2002M08,27.29
Bosnia and Herzegovina,2002M09,27.28
Bosnia and Herzegovina,2002M10,27.29
Bosnia and Herzegovina,2002M11,27.3
Bosnia and Herzegovina,2002M12,27.31
Bosnia and Herzegovina,2003M01,28.45
Bosnia and Herzegovina,2003M02,28.45
Bosnia and Herzegovina,2003M03,28.45
Bosnia and Herzegovina,2003M04,28.46
Bosnia and Herzegovina,2003M05,28.46
Bosnia and Herzegovina,2003M06,28.45
Bosnia and Herzegovina,2003M07,28.45
Bosnia and Herzegovina,2003M08,28.45
Bosnia and Herzegovina,2003M09,28.45
Bosnia and Herzegovina,2003M10,28.45
Bosnia and Herzegovina,2003M11,28.45
Bosnia and Herzegovina,2003M12,28.45
Bosnia and Herzegovina,2004M01,29.26
Bosnia and Herzegovina,2004M02,29.26
Bosnia and Herzegovina,2004M03,29.27
Bosnia and Herzegovina,2004M04,29.28
Bosnia and Herzegovina,2004M05,29.28
Bosnia and Herzegovina,2004M06,29.28
Bosnia and Herzegovina,2004M07,29.28
Bosnia and Herzegovina,2004M08,29.28
Bosnia and Herzegovina,2004M09,29.28
Bosnia and Herzegovina,2004M10,29.27
Bosnia and Herzegovina,2004M11,29.26
Bosnia and Herzegovina,2004M12,29.25
Bosnia and Herzegovina,2005M01,30.23
Bosnia and Herzegovina,2005M02,30.23
Bosnia and Herzegovina,2005M03,30.23
Bosnia and Herzegovina,2005M04,30.23
Bosnia and Herzegovina,2005M05,30.23
Bosnia and Herzegovina,2005M06,30.22
Bosnia and Herzegovina,2005M07,30.21
Bosnia and Herzegovina,2005M08,30.2
Bosnia and Herzegovina,2005M09,30.19
Bosnia and Herzegovina,2005M10,30.21
Bosnia and Herzegovina,2005M11,30.23
Bosnia and Herzegovina,2005M12,30.23
Bosnia and Herzegovina,2006M01,31.11
Bosnia and Herzegovina,2006M02,31.11
Bosnia and Herzegovina,2006M03,31.11
Bosnia and Herzegovina,2006M04,31.1
Bosnia and Herzegovina,2006M05,31.09
Bosnia and Herzegovina,2006M06,31.1
Bosnia and Herzegovina,2006M07,31.11
Bosnia and Herzegovina,2006M08,31.11
Bosnia and Herzegovina,2006M09,31.11
Bosnia and Herzegovina,2006M10,31.12
Bosnia and Herzegovina,2006M11,31.13
Bosnia and Herzegovina,2006M12,31.11
Bosnia and Herzegovina,2007M01,23.6
Bosnia and Herzegovina,2007M02,23.8
Bosnia and Herzegovina,2007M03,23.7
Bosnia and Herzegovina,2007M04,23.7
Bosnia and Herzegovina,2007M05,23.5
Bosnia and Herzegovina,2007M06,23.5
Bosnia and Herzegovina,2007M07,23.2
Bosnia and Herzegovina,2007M08,23.1
Bosnia and Herzegovina,2007M09,23.1
Bosnia and Herzegovina,2007M10,24
Bosnia and Herzegovina,2007M11,24
Bosnia and Herzegovina,2007M12,23.8
Bosnia and Herzegovina,2008M01,22.9
Bosnia and Herzegovina,2008M02,22.8
Bosnia and Herzegovina,2008M03,22.6
Bosnia and Herzegovina,2008M04,22.3
Bosnia and Herzegovina,2008M05,22.2
Bosnia and Herzegovina,2008M06,22
Bosnia and Herzegovina,2008M07,21.9
Bosnia and Herzegovina,2008M08,21.8
Bosnia and Herzegovina,2008M09,21.7
Bosnia and Herzegovina,2008M10,22.1
